city,state,name,latitude,longitude,phone
New York City,New York,Piccola Cucina,40.72653,-74.002217,212-625-3200
New York City,New York,Club A Steakhouse,40.760293,-73.965616,212-688-4190
New York City,New York,Olio e Piu,40.735099,-73.999962,212-243-6546
Los Angeles,California,Fuku,34.017,-118.497026,310-584-7836
Los Angeles,California,Pasjoli,34.000558,-118.482156,424-330-0020
Los Angeles,California,Fia Restaurant,34.035226,-118.478468,310-586-1707
Chicago,Illinois,Wherewithall,41.94443,-87.705685,773-692-2192
Chicago,Illinois,Superkhana International,41.932137,-87.704838,773-661-9028
Chicago,Illinois,Good Fortune,41.927776,-87.697772,773-666-5238
Houston,Texas,Toukei,29.708355,-95.550359,346-293-9960
Houston,Texas,Bori,29.76793,-95.540585,832-740-4350
Houston,Texas,The Annie Café & Bar,29.74374,-95.461656,713-804-1800
Phoenix,Arizona,Tacos Calafia,33.610715,-112.236842,623-312-6358
Phoenix,Arizona,The Larder and the Delta,33.460363,-112.075131,480-409-8520
Phoenix,Arizona,Across the Pond,33.49775,-112.074032,602-296-5629
